ts_ms,x,y,z,t_seconds
1757863034969,-0.00421142578125,-0.0051727294921875,-0.992767333984375,0.0
1757863035637,-0.00421142578125,-0.003753662109375,-0.992767333984375,0.668
1757863035971,-0.00421142578125,-0.003753662109375,-0.9920501708984375,1.002
1757863036641,-0.00421142578125,-0.003753662109375,-0.99261474609375,1.672
1757863036973,-0.006256103515625,-0.003753662109375,-0.99261474609375,2.004
1757863037947,0.3199920654296875,-0.003753662109375,-0.99261474609375,2.978
1757863037947,0.3199920654296875,-0.266571044921875,-0.99261474609375,2.978
1757863037947,0.3199920654296875,-0.266571044921875,-0.9659881591796875,2.978
1757863037974,0.3199920654296875,-0.00469970703125,-0.9659881591796875,3.005
1757863038948,0.4054412841796875,-0.00469970703125,-0.9659881591796875,3.979
